byz,rounds
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,8
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,8
0.01,9
0.01,9
0.01,9
0.01,9
0.01,11
0.01,9
0.01,9
0.01,10
0.01,10
0.01,9
0.01,11
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,8
0.01,10
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,11
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,8
0.01,9
0.01,9
0.01,9
0.01,10
0.01,11
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,10
0.01,8
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,11
0.01,9
0.01,11
0.01,10
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,11
0.01,10
0.01,9
0.01,9
0.01,9
0.01,8
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,10
0.01,9
0.01,10
0.01,9
0.01,10
0.01,8
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,8
0.01,11
0.01,11
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,11
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,11
0.01,9
0.01,9
0.01,11
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,11
0.01,8
0.01,10
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,12
0.01,9
0.01,9
0.01,8
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,8
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,12
0.01,8
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,8
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,13
0.01,9
0.01,12
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,11
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,8
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,10
0.01,10
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,10
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,12
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,8
0.01,10
0.01,9
0.01,10
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,8
0.01,10
0.01,9
0.01,10
0.01,9
0.01,9
0.01,11
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,11
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,11
0.01,13
0.01,10
0.01,10
0.01,9
0.01,10
0.01,9
0.01,8
0.01,9
0.01,9
0.01,8
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,8
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,8
0.01,11
0.01,9
0.01,9
0.01,10
0.01,11
0.01,8
0.01,8
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,8
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,8
0.01,9
0.01,10
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,10
0.01,8
0.01,9
0.01,12
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,12
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,11
0.01,9
0.01,9
0.01,10
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,10
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
0.01,10
0.01,9
0.01,11
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,10
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,9
0.01,10
0.01,9
