byz,rounds
0.05,17
0.05,17
0.05,17
0.05,18
0.05,21
0.05,18
0.05,17
0.05,16
0.05,19
0.05,15
0.05,19
0.05,29
0.05,16
0.05,20
0.05,17
0.05,17
0.05,16
0.05,19
0.05,17
0.05,16
0.05,16
0.05,16
0.05,21
0.05,17
0.05,22
0.05,21
0.05,16
0.05,17
0.05,18
0.05,16
0.05,16
0.05,16
0.05,17
0.05,15
0.05,19
0.05,27
0.05,20
0.05,16
0.05,16
0.05,19
0.05,18
0.05,17
0.05,17
0.05,24
0.05,18
0.05,18
0.05,20
0.05,16
0.05,18
0.05,20
0.05,17
0.05,20
0.05,20
0.05,16
0.05,16
0.05,18
0.05,22
0.05,23
0.05,18
0.05,18
0.05,19
0.05,22
0.05,17
0.05,24
0.05,18
0.05,16
0.05,17
0.05,25
0.05,20
0.05,17
0.05,17
0.05,15
0.05,16
0.05,19
0.05,19
0.05,16
0.05,16
0.05,16
0.05,21
0.05,15
0.05,19
0.05,24
0.05,19
0.05,26
0.05,17
0.05,15
0.05,21
0.05,25
0.05,16
0.05,25
0.05,17
0.05,16
0.05,19
0.05,23
0.05,19
0.05,29
0.05,15
0.05,18
0.05,18
0.05,16
0.05,18
0.05,20
0.05,18
0.05,18
0.05,16
0.05,18
0.05,21
0.05,26
0.05,19
0.05,19
0.05,18
0.05,24
0.05,16
0.05,16
0.05,16
0.05,16
0.05,17
0.05,16
0.05,16
0.05,16
0.05,20
0.05,17
0.05,21
0.05,17
0.05,16
0.05,17
0.05,16
0.05,20
0.05,20
0.05,21
0.05,19
0.05,20
0.05,16
0.05,16
0.05,16
0.05,22
0.05,17
0.05,17
0.05,21
0.05,17
0.05,21
0.05,21
0.05,16
0.05,23
0.05,16
0.05,18
0.05,15
0.05,18
0.05,18
0.05,19
0.05,18
0.05,16
0.05,17
0.05,17
0.05,17
0.05,20
0.05,18
0.05,20
0.05,17
0.05,16
0.05,22
0.05,15
0.05,38
0.05,17
0.05,19
0.05,18
0.05,18
0.05,16
0.05,16
0.05,18
0.05,16
0.05,18
0.05,16
0.05,17
0.05,18
0.05,16
0.05,16
0.05,16
0.05,16
0.05,18
0.05,17
0.05,21
0.05,17
0.05,17
0.05,18
0.05,16
0.05,23
0.05,15
0.05,17
0.05,17
0.05,17
0.05,21
0.05,16
0.05,19
0.05,21
0.05,17
0.05,18
0.05,20
0.05,31
0.05,18
0.05,16
0.05,17
0.05,18
0.05,16
0.05,22
0.05,17
0.05,17
0.05,18
0.05,16
0.05,17
0.05,15
0.05,16
0.05,16
0.05,18
0.05,16
0.05,16
0.05,17
0.05,17
0.05,23
0.05,17
0.05,20
0.05,17
0.05,15
0.05,16
0.05,16
0.05,17
0.05,18
0.05,18
0.05,16
0.05,23
0.05,17
0.05,16
0.05,17
0.05,17
0.05,25
0.05,26
0.05,18
0.05,17
0.05,17
0.05,17
0.05,21
0.05,16
0.05,16
0.05,22
0.05,24
0.05,18
0.05,18
0.05,16
0.05,19
0.05,17
0.05,18
0.05,19
0.05,23
0.05,16
0.05,21
0.05,29
0.05,16
0.05,16
0.05,16
0.05,17
0.05,15
0.05,18
0.05,16
0.05,17
0.05,16
0.05,17
0.05,19
0.05,17
0.05,16
0.05,15
0.05,15
0.05,16
0.05,17
0.05,17
0.05,16
0.05,19
0.05,26
0.05,18
0.05,22
0.05,22
0.05,26
0.05,16
0.05,17
0.05,17
0.05,15
0.05,25
0.05,17
0.05,16
0.05,23
0.05,18
0.05,17
0.05,17
0.05,15
0.05,16
0.05,20
0.05,17
0.05,18
0.05,18
0.05,16
0.05,19
0.05,18
0.05,22
0.05,17
0.05,17
0.05,16
0.05,16
0.05,17
0.05,18
0.05,16
0.05,19
0.05,17
0.05,21
0.05,20
0.05,19
0.05,18
0.05,27
0.05,18
0.05,24
0.05,16
0.05,20
0.05,23
0.05,17
0.05,18
0.05,20
0.05,20
0.05,17
0.05,19
0.05,24
0.05,19
0.05,28
0.05,16
0.05,18
0.05,16
0.05,17
0.05,16
0.05,16
0.05,28
0.05,18
0.05,17
0.05,16
0.05,23
0.05,18
0.05,16
0.05,16
0.05,17
0.05,17
0.05,22
0.05,16
0.05,16
0.05,28
0.05,16
0.05,19
0.05,16
0.05,20
0.05,17
0.05,21
0.05,24
0.05,17
0.05,16
0.05,17
0.05,24
0.05,23
0.05,33
0.05,19
0.05,18
0.05,21
0.05,17
0.05,18
0.05,16
0.05,16
0.05,23
0.05,18
0.05,27
0.05,16
0.05,17
0.05,17
0.05,21
0.05,18
0.05,17
0.05,16
0.05,16
0.05,19
0.05,17
0.05,16
0.05,17
0.05,15
0.05,20
0.05,15
0.05,15
0.05,19
0.05,16
0.05,16
0.05,17
0.05,18
0.05,16
0.05,20
0.05,30
0.05,21
0.05,31
0.05,17
0.05,22
0.05,19
0.05,17
0.05,18
0.05,16
0.05,16
0.05,18
0.05,16
0.05,15
0.05,18
0.05,16
0.05,36
0.05,24
0.05,16
0.05,18
0.05,21
0.05,18
0.05,16
0.05,18
0.05,19
0.05,17
0.05,17
0.05,15
0.05,17
0.05,17
0.05,18
0.05,18
0.05,16
0.05,15
0.05,21
0.05,22
0.05,19
0.05,18
0.05,18
0.05,16
0.05,34
0.05,18
0.05,22
0.05,16
0.05,20
0.05,24
0.05,21
0.05,16
0.05,19
0.05,19
0.05,17
0.05,24
0.05,18
0.05,25
0.05,20
0.05,26
0.05,16
0.05,17
0.05,16
0.05,16
0.05,26
0.05,15
0.05,18
0.05,29
0.05,19
0.05,18
0.05,19
0.05,17
0.05,17
0.05,17
0.05,22
0.05,15
0.05,22
0.05,16
0.05,21
0.05,20
0.05,19
0.05,21
0.05,17
0.05,16
0.05,15
0.05,15
0.05,16
0.05,16
0.05,15
0.05,18
0.05,21
0.05,15
0.05,21
0.05,17
0.05,17
0.05,20
0.05,23
0.05,17
0.05,17
0.05,15
0.05,21
0.05,19
0.05,16
0.05,18
0.05,21
0.05,16
0.05,18
0.05,18
0.05,18
0.05,16
0.05,15
0.05,18
0.05,15
0.05,19
0.05,16
0.05,21
0.05,18
0.05,20
0.05,18
0.05,22
0.05,17
0.05,17
0.05,18
0.05,18
0.05,17
0.05,24
0.05,16
0.05,17
0.05,16
0.05,18
0.05,18
0.05,16
0.05,19
0.05,16
0.05,21
0.05,21
0.05,17
0.05,17
0.05,16
0.05,18
0.05,15
0.05,17
0.05,16
0.05,18
0.05,21
0.05,17
0.05,15
0.05,20
0.05,17
0.05,22
0.05,17
0.05,15
0.05,16
0.05,15
0.05,22
0.05,16
0.05,16
0.05,17
0.05,17
0.05,16
0.05,17
0.05,19
0.05,17
0.05,23
0.05,15
0.05,16
0.05,16
0.05,16
0.05,18
0.05,19
0.05,21
0.05,16
0.05,29
0.05,17
0.05,33
0.05,20
0.05,16
0.05,22
0.05,16
0.05,26
0.05,16
0.05,16
0.05,18
0.05,17
0.05,16
0.05,17
0.05,34
0.05,17
0.05,15
0.05,16
0.05,18
0.05,22
0.05,19
0.05,15
0.05,18
0.05,19
0.05,24
0.05,17
0.05,16
0.05,16
0.05,20
0.05,18
0.05,22
0.05,16
0.05,16
0.05,17
0.05,16
0.05,15
0.05,16
0.05,15
0.05,19
0.05,17
0.05,17
0.05,18
0.05,18
0.05,25
0.05,17
0.05,16
0.05,16
0.05,17
0.05,20
0.05,17
0.05,17
0.05,21
0.05,21
0.05,16
0.05,16
0.05,21
0.05,16
0.05,21
0.05,18
0.05,17
0.05,16
0.05,17
0.05,16
0.05,19
0.05,16
0.05,24
0.05,19
0.05,16
0.05,19
0.05,18
0.05,16
0.05,16
0.05,18
0.05,16
0.05,16
0.05,16
0.05,20
0.05,19
0.05,25
0.05,26
0.05,22
0.05,20
0.05,16
0.05,18
0.05,17
0.05,17
0.05,23
0.05,16
0.05,16
0.05,18
0.05,19
0.05,21
0.05,17
0.05,16
0.05,17
0.05,18
0.05,16
0.05,16
0.05,17
0.05,18
0.05,20
0.05,15
0.05,20
0.05,15
0.05,16
0.05,18
0.05,31
0.05,16
0.05,18
0.05,19
0.05,19
0.05,19
0.05,16
0.05,16
0.05,17
0.05,21
0.05,22
0.05,19
0.05,19
0.05,17
0.05,20
0.05,24
0.05,16
0.05,18
0.05,16
0.05,18
0.05,17
0.05,18
0.05,18
0.05,17
0.05,16
0.05,16
0.05,15
0.05,19
0.05,18
0.05,15
0.05,17
0.05,19
0.05,18
0.05,21
0.05,17
0.05,15
0.05,33
0.05,20
0.05,23
0.05,15
0.05,16
0.05,16
0.05,16
0.05,21
0.05,22
0.05,21
0.05,18
0.05,23
0.05,22
0.05,19
0.05,19
0.05,19
0.05,31
0.05,16
0.05,18
0.05,15
0.05,16
0.05,18
0.05,20
0.05,26
0.05,16
0.05,21
0.05,16
0.05,25
0.05,21
0.05,17
0.05,18
0.05,16
0.05,17
0.05,17
0.05,19
0.05,20
0.05,16
0.05,17
0.05,23
0.05,17
0.05,16
0.05,20
0.05,16
0.05,24
0.05,32
0.05,15
0.05,19
0.05,17
0.05,20
0.05,15
0.05,20
0.05,20
0.05,22
0.05,21
0.05,19
0.05,16
0.05,18
0.05,16
0.05,25
0.05,22
0.05,16
0.05,18
0.05,17
0.05,17
0.05,17
0.05,19
0.05,23
0.05,16
0.05,19
0.05,21
0.05,16
0.05,17
0.05,16
0.05,18
0.05,20
0.05,16
0.05,17
0.05,23
0.05,16
0.05,16
0.05,17
0.05,17
0.05,15
0.05,18
0.05,19
0.05,15
0.05,19
0.05,18
0.05,15
0.05,17
0.05,17
0.05,19
0.05,18
0.05,18
0.05,16
0.05,21
0.05,16
0.05,19
0.05,19
0.05,21
0.05,19
0.05,17
0.05,20
0.05,20
0.05,16
0.05,19
0.05,23
0.05,19
0.05,23
0.05,16
0.05,15
0.05,16
0.05,17
0.05,16
0.05,16
0.05,18
0.05,17
0.05,16
0.05,21
0.05,16
0.05,16
0.05,25
0.05,17
0.05,16
0.05,15
0.05,28
0.05,18
0.05,17
0.05,16
0.05,18
0.05,23
0.05,18
0.05,16
0.05,16
0.05,23
0.05,20
0.05,18
0.05,19
0.05,16
0.05,17
0.05,18
0.05,16
0.05,18
0.05,18
0.05,18
0.05,18
0.05,18
0.05,18
0.05,16
0.05,17
0.05,16
0.05,25
0.05,17
0.05,25
0.05,22
0.05,17
0.05,16
0.05,16
0.05,24
0.05,19
0.05,21
0.05,20
0.05,16
0.05,18
0.05,18
0.05,17
0.05,16
0.05,20
0.05,18
0.05,22
0.05,26
0.05,18
0.05,23
0.05,23
0.05,19
0.05,21
0.05,18
0.05,16
0.05,17
0.05,22
0.05,15
0.05,18
0.05,17
0.05,18
0.05,19
0.05,16
0.05,16
0.05,16
0.05,17
0.05,17
0.05,18
0.05,16
0.05,22
0.05,21
0.05,17
0.05,18
0.05,18
0.05,17
0.05,22
0.05,17
0.05,16
0.05,20
0.05,23
0.05,16
0.05,18
0.05,18
0.05,18
0.05,17
0.05,16
0.05,15
0.05,15
0.05,17
0.05,20
0.05,17
0.05,21
0.05,22
0.05,16
0.05,20
0.05,18
0.05,18
0.05,16
0.05,17
0.05,18
0.05,16
0.05,16
0.05,16
0.05,19
0.05,19
0.05,21
0.05,16
0.05,16
0.05,18
0.05,34
0.05,22
0.05,17
0.05,19
0.05,17
0.05,17
0.05,16
0.05,16
0.05,19
0.05,22
0.05,16
0.05,21
0.05,32
0.05,15
0.05,18
0.05,19
0.05,16
0.05,18
0.05,17
0.05,16
0.05,18
0.05,17
0.05,16
0.05,20
0.05,22
0.05,16
0.05,16
0.05,20
0.05,31
0.05,18
0.05,17
0.05,15
0.05,19
0.05,16
0.05,16
0.05,18
0.05,16
0.05,20
0.05,16
0.05,18
0.05,20
0.05,16
0.05,21
0.05,16
0.05,16
