byz,rounds
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
0.01,23
