byz,rounds
0.10,266
0.10,163
0.10,45
0.10,123
0.10,32
0.10,51
0.10,196
0.10,84
0.10,77
0.10,30
0.10,49
0.10,98
0.10,398
0.10,87
0.10,104
0.10,186
0.10,227
0.10,123
0.10,131
0.10,42
0.10,136
0.10,169
0.10,184
0.10,39
0.10,94
0.10,61
0.10,71
0.10,45
0.10,54
0.10,82
0.10,102
0.10,218
0.10,446
0.10,44
0.10,183
0.10,27
0.10,248
0.10,138
0.10,37
0.10,451
0.10,63
0.10,55
0.10,272
0.10,66
0.10,199
0.10,64
0.10,95
0.10,140
0.10,199
0.10,176
0.10,26
0.10,188
0.10,222
0.10,316
0.10,65
0.10,134
0.10,32
0.10,75
0.10,41
0.10,305
0.10,76
0.10,145
0.10,215
0.10,39
0.10,45
0.10,167
0.10,26
0.10,78
0.10,39
0.10,247
0.10,86
0.10,56
0.10,29
0.10,89
0.10,241
0.10,52
0.10,24
0.10,56
0.10,48
0.10,48
0.10,59
0.10,254
0.10,89
0.10,182
0.10,159
0.10,210
0.10,85
0.10,30
0.10,43
0.10,123
0.10,183
0.10,140
0.10,49
0.10,59
0.10,52
0.10,26
0.10,142
0.10,158
0.10,45
0.10,79
0.10,41
0.10,88
0.10,329
0.10,80
0.10,42
0.10,37
0.10,39
0.10,38
0.10,101
0.10,108
0.10,83
0.10,502
0.10,96
0.10,32
0.10,350
0.10,89
0.10,116
0.10,126
0.10,48
0.10,26
0.10,87
0.10,114
0.10,53
0.10,28
0.10,201
0.10,199
0.10,46
0.10,73
0.10,47
0.10,94
0.10,53
0.10,48
0.10,62
0.10,34
0.10,138
0.10,49
0.10,59
0.10,92
0.10,147
0.10,193
0.10,30
0.10,137
0.10,25
0.10,115
0.10,111
0.10,40
0.10,354
0.10,36
0.10,407
0.10,67
0.10,38
0.10,40
0.10,197
0.10,577
0.10,109
0.10,114
0.10,199
0.10,81
0.10,251
0.10,33
0.10,88
0.10,284
0.10,319
0.10,43
0.10,204
0.10,167
0.10,278
0.10,184
0.10,50
0.10,162
0.10,234
0.10,216
0.10,189
0.10,233
0.10,25
0.10,74
0.10,69
0.10,108
0.10,267
0.10,46
0.10,100
0.10,41
0.10,187
0.10,222
0.10,29
0.10,36
0.10,189
0.10,161
0.10,58
0.10,39
0.10,216
0.10,118
0.10,143
0.10,27
0.10,132
0.10,27
0.10,34
0.10,189
0.10,68
0.10,221
0.10,67
0.10,149
0.10,182
0.10,55
0.10,256
0.10,568
0.10,29
0.10,27
0.10,50
0.10,203
0.10,37
0.10,355
0.10,67
0.10,226
0.10,254
0.10,192
0.10,420
0.10,469
0.10,95
0.10,117
0.10,476
0.10,83
0.10,38
0.10,93
0.10,190
0.10,47
0.10,60
0.10,28
0.10,249
0.10,50
0.10,313
0.10,272
0.10,25
0.10,69
0.10,69
0.10,142
0.10,30
0.10,32
0.10,69
0.10,224
0.10,65
0.10,224
0.10,70
0.10,97
0.10,218
0.10,325
0.10,90
0.10,112
0.10,74
0.10,57
0.10,49
0.10,101
0.10,91
0.10,32
0.10,70
0.10,347
0.10,76
0.10,69
0.10,131
0.10,121
0.10,40
0.10,315
0.10,69
0.10,45
0.10,168
0.10,90
0.10,177
0.10,210
0.10,46
0.10,37
0.10,110
0.10,54
0.10,107
0.10,46
0.10,75
0.10,149
0.10,135
0.10,119
0.10,139
0.10,150
0.10,268
0.10,65
0.10,339
0.10,49
0.10,66
0.10,44
0.10,143
0.10,119
0.10,31
0.10,36
0.10,160
0.10,93
0.10,101
0.10,254
0.10,36
0.10,84
0.10,90
0.10,303
0.10,49
0.10,43
0.10,55
0.10,53
0.10,285
0.10,255
0.10,61
0.10,87
0.10,43
0.10,138
0.10,337
0.10,116
0.10,191
0.10,45
0.10,126
0.10,59
0.10,34
0.10,332
0.10,49
0.10,139
0.10,69
0.10,245
0.10,36
0.10,176
0.10,34
0.10,373
0.10,168
0.10,83
0.10,122
0.10,100
0.10,102
0.10,89
0.10,110
0.10,131
0.10,79
0.10,132
0.10,109
0.10,67
0.10,211
0.10,98
0.10,204
0.10,47
0.10,84
0.10,361
0.10,204
0.10,176
0.10,50
0.10,95
0.10,154
0.10,45
0.10,38
0.10,207
0.10,33
0.10,226
0.10,138
0.10,31
0.10,216
0.10,216
0.10,329
0.10,52
0.10,52
0.10,25
0.10,252
0.10,60
0.10,86
0.10,127
0.10,30
0.10,79
0.10,120
0.10,38
0.10,52
0.10,76
0.10,192
0.10,187
0.10,27
0.10,90
0.10,280
0.10,35
0.10,211
0.10,69
0.10,308
0.10,88
0.10,90
0.10,59
0.10,148
0.10,25
0.10,28
0.10,62
0.10,88
0.10,58
0.10,226
0.10,43
0.10,173
0.10,456
0.10,146
0.10,106
0.10,218
0.10,28
0.10,128
0.10,62
0.10,76
0.10,89
0.10,438
0.10,450
0.10,71
0.10,58
0.10,130
0.10,143
0.10,110
0.10,236
0.10,62
0.10,237
0.10,73
0.10,31
0.10,110
0.10,123
0.10,198
0.10,33
0.10,161
0.10,27
0.10,195
0.10,34
0.10,95
0.10,81
0.10,98
0.10,183
0.10,82
0.10,58
0.10,25
0.10,175
0.10,170
0.10,117
0.10,111
0.10,160
0.10,106
0.10,101
0.10,68
0.10,31
0.10,105
0.10,45
0.10,93
0.10,102
0.10,358
0.10,33
0.10,411
0.10,33
0.10,61
0.10,26
0.10,38
0.10,330
0.10,120
0.10,52
0.10,32
0.10,93
0.10,60
0.10,210
0.10,617
0.10,208
0.10,235
0.10,583
0.10,60
0.10,43
0.10,80
0.10,89
0.10,301
0.10,38
0.10,43
0.10,48
0.10,89
0.10,84
0.10,127
0.10,229
0.10,106
0.10,25
0.10,255
0.10,123
0.10,107
0.10,121
0.10,70
0.10,235
0.10,143
0.10,222
0.10,42
0.10,38
0.10,36
0.10,176
0.10,79
0.10,42
0.10,168
0.10,31
0.10,161
0.10,50
0.10,121
0.10,113
0.10,39
0.10,53
0.10,400
0.10,286
0.10,72
0.10,43
0.10,81
0.10,42
0.10,156
0.10,41
0.10,42
0.10,85
0.10,40
0.10,51
0.10,88
0.10,66
